doi,pub_date,filename,file_format,num_bytes,total_downloads
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2011.zip,application/zip,1335691587,623
10.13012/B2IDB-4900670_V1,2016-06-23,links.csv,text/csv,42001684,888
10.13012/B2IDB-4900670_V1,2016-06-23,README.txt,text/plain,5366,974
10.13012/B2IDB-4900670_V1,2016-06-23,license.txt,text/plain,28065,882
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2013.zip,application/zip,1340668960,729
10.13012/B2IDB-4900670_V1,2016-06-23,nodes.csv,text/csv,7919999,753
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2012.zip,application/zip,1343454210,684
10.13012/B2IDB-4900670_V1,2016-06-23,travel_times_2010.zip,application/zip,1092159271,769
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_2_fastq.txt.gz,application/x-gzip,17632056868,494
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_S7_L007_R1_001.fastq.gz,application/x-gzip,13545998422,493
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_key.txt,text/plain,32950,427
10.13012/B2IDB-6648634_V1,2016-12-14,16IL007_key.txt,text/plain,33968,442
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_key.txt,text/plain,81634,420
10.13012/B2IDB-6648634_V1,2016-12-14,14IL008_H9Y9MADXX_s_1_fastq.txt.gz,application/x-gzip,17404502974,542
10.13012/B2IDB-6648634_V1,2016-12-14,16IL003_C8BYLANXX_s_3_fastq.txt.gz,application/x-gzip,13332071483,506
10.13012/J81Z429G,2016-06-06,README.txt,text/plain,10372,479
10.13012/J81Z429G,2016-06-06,dat_1988t2009_frm.zip,application/zip,853031321,419
10.13012/J81Z429G,2016-06-06,dat_1988t2009_suc.tsv,text/plain,381088487,572
10.13012/B2IDB-2031816_V1,2017-08-30,Busycon_spire_angles_for_Data_Bank.xlsx,application/vnd.ms-excel,52985,9
10.13012/B2IDB-0475732_V1,2016-12-14,13IL015_key.txt,text/plain,18217,439
10.13012/B2IDB-0475732_V1,2016-12-14,13IL022_key.txt,text/plain,15265,402
10.13012/B2IDB-0475732_V1,2016-12-14,13IL015_C28E1ACXX_s_5_fastq.txt.gz,application/x-gzip,17456424868,382
10.13012/B2IDB-0475732_V1,2016-12-14,13IL014_C28E1ACXX_s_4_fastq.txt.gz,application/x-gzip,17940771075,358
10.13012/B2IDB-0475732_V1,2016-12-14,13IL022_C3E8TACXX_s_1_fastq.txt.gz,application/x-gzip,11137018558,392
10.13012/B2IDB-0475732_V1,2016-12-14,13IL014_key.txt,text/plain,16563,405
10.13012/B2IDB-6967733_V1,2018-05-01,13IL021_info.txt,text/plain,12658,387
10.13012/B2IDB-6967733_V1,2018-05-01,14IL001_C3JBJACXX_s_1_fastq.txt.gz,application/x-gzip,16307801195,356
10.13012/B2IDB-6967733_V1,2018-05-01,13IL020_C35WKACXX_s_1_fastq.txt.gz,application/x-gzip,15554182584,492
10.13012/B2IDB-6967733_V1,2018-05-01,13IL021_C35WKACXX_s_2_fastq.txt.gz,application/x-gzip,14849166163,426
10.13012/B2IDB-6967733_V1,2018-05-01,13IL020_info.txt,text/plain,12658,403
10.13012/B2IDB-6967733_V1,2018-05-01,16IL029_HGCMHBBXX_s_2_fastq.txt.gz,application/x-gzip,20992982868,480
10.13012/B2IDB-6967733_V1,2018-05-01,13IL023_info.txt,text/plain,12517,388
10.13012/B2IDB-6967733_V1,2018-05-01,16IL012_C8HKVANXX_s_3_fastq.txt.gz,application/x-gzip,14491736982,452
10.13012/B2IDB-6967733_V1,2018-05-01,16IL028_HGCMHBBXX_s_1_fastq.txt.gz,application/x-gzip,20973546090,397
10.13012/B2IDB-6967733_V1,2018-05-01,14IL001.txt,text/plain,10749,400
10.13012/B2IDB-6967733_V1,2018-05-01,13IL023_C3E8TACXX_s_2_fastq.txt.gz,application/x-gzip,15316991471,513
10.13012/B2IDB-6967733_V1,2018-05-01,16IL012_SS.xlsx,application/vnd.ms-excel,29806,400
10.13012/B2IDB-6967733_V1,2018-05-01,16IL028_16IL029_info.txt,text/plain,78187,407
10.13012/B2IDB-9154233_V1,2018-04-26,13IL018_info.txt,text/plain,27238,345
10.13012/B2IDB-9154233_V1,2018-04-26,15IL008_Tom.txt,text/plain,24702,328
