doi,pub_date,filename,file_format,num_bytes,total_downloads
10.13012/B2IDB-4912922_V2,3/7/2017,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,553
10.13012/B2IDB-4912922_V1,3/7/2017,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,259
10.13012/B2IDB-0684398_V1,10/16/2020,Jones et al. Predation of a songbird nest by an Eastern Box Turtle.mp4,video/quicktime,626600959,80
10.13012/B2IDB-2044905_V1,3/22/2019,CACH_2810-03709_C.MP4,video/quicktime,210801448,199
10.13012/B2IDB-2044905_V1,3/22/2019,EABL_2741-54933_D.MP4,video/quicktime,190497336,197
10.13012/B2IDB-2044905_V1,3/22/2019,FISP_2810-03760_A.MP4,video/quicktime,98409122,194
10.13012/B2IDB-2044905_V1,3/22/2019,HOWR_2810-03785_D.MP4,video/quicktime,88684533,208
10.13012/B2IDB-2044905_V1,3/22/2019,COYE_2840-00518_A.MP4,video/quicktime,82757503,202
10.13012/B2IDB-2044905_V1,3/22/2019,NOCA_2701-40106_A.MP4,video/quicktime,81484646,200
10.13012/B2IDB-2044905_V1,3/22/2019,GRCA_2701-40142_A.MP4,video/quicktime,62152895,208
10.13012/B2IDB-2044905_V1,3/22/2019,EAPH_2750-72555_A.MP4,video/quicktime,51828891,202
10.13012/B2IDB-2044905_V1,3/22/2019,BRTH_1352-66495_A.MP4,video/quicktime,36516269,202
10.13012/B2IDB-2044905_V1,3/22/2019,INBU_2631-63137_A.MP4,video/quicktime,30766166,199
10.13012/B2IDB-9059263_V1,5/31/2020,runMascote.chr20.hg38.sh,text/x-shellscript,5133,154
10.13012/B2IDB-9453481_V1,12/20/2019,RayS2.sh,text/x-shellscript,449,228
10.13012/B2IDB-9453481_V1,12/20/2019,RayS1.sh,text/x-shellscript,448,223
10.13012/B2IDB-9453481_V1,12/20/2019,MSNPQ.sh,text/x-shellscript,298,218
10.13012/B2IDB-9453481_V1,12/20/2019,MSRca.sh,text/x-shellscript,298,228
10.13012/B2IDB-3993338_V1,2/19/2019,nar_v20_pers_1.csv,text/x-python,12879,261
10.13012/B2IDB-9059263_V1,5/31/2020,spike.py,text/x-python,11305,162
10.13012/B2IDB-1461292_V1,8/5/2019,create_pie_charts_tree.py,text/x-python,6663,179
10.13012/B2IDB-1461292_V1,8/5/2019,print_node_key_files.py,text/x-python,5122,180
10.13012/B2IDB-9614170_V1,11/12/2019,README.txt,text/x-python,4833,182
10.13012/B2IDB-0790815_V3,3/25/2019,index_gff3_170111.py,text/x-python,3861,374
10.13012/B2IDB-0790815_V3,3/25/2019,index_gff3.py,text/x-python,3859,339
10.13012/B2IDB-1461292_V1,8/5/2019,count_ingroup_taxa.py,text/x-python,3041,178
10.13012/B2IDB-4551278_V1,7/8/2019,wiki_cat_generate_elmo_embeddings.py,text/x-python,1594,203
10.13012/B2IDB-4551278_V1,7/8/2019,wiki_cat_poincare_embedding.py,text/x-python,924,204
10.13012/B2IDB-9797270_V1,8/13/2019,fruit_dove_beast_input.xml,text/xml,377231,193
10.13012/B2IDB-2011663_V1,1/3/2018,beast_parameters_coi_brueelia.xml,text/xml,198356,377
10.13012/B2IDB-3175716_V1,10/11/2017,McEntee_coll_metadata.xml,text/xml,27566,445
10.13012/B2IDB-4584681_V1,12/10/2019,Marginalland_xslttransformat1.xml,text/xml,6602,189
10.13012/B2IDB-0170190_V3,6/18/2018,180601cp_analysis.R,text/x-java,23128,337
10.13012/B2IDB-0170190_V2,3/26/2018,180212cp_analysis.R,text/x-java,22982,150
10.13012/B2IDB-0170190_V1,3/16/2018,180212cp_analysis.R,text/x-java,22982,257
10.13012/B2IDB-0170190_V3,6/18/2018,polyRAD_functions.R,text/x-java,22090,347
10.13012/B2IDB-0170190_V2,3/26/2018,polyRAD_functions.R,text/x-java,22090,137
10.13012/B2IDB-0170190_V1,3/16/2018,polyRAD_functions.R,text/x-java,22090,259
10.13012/B2IDB-0790815_V2,12/19/2018,160323combine_and_filter_markers.R,text/x-java,15493,219
10.13012/B2IDB-0790815_V1,11/29/2017,160323combine_and_filter_markers.R,text/x-java,15493,327
10.13012/B2IDB-0170190_V3,6/18/2018,180326diversity_differentiation_stats.R,text/x-java,7576,341
10.13012/B2IDB-0170190_V2,3/26/2018,180326diversity_differentiation_stats.R,text/x-java,7576,144
10.13012/B2IDB-0170190_V1,3/16/2018,180209diversity_differentiation_stats.R,text/x-java,7483,267
10.13012/B2IDB-5835198_V1,12/14/2017,UXC2_Fctn.py,text/x-java,4419,464
10.13012/B2IDB-5835198_V1,12/14/2017,UXC_Fctnlib.py,text/x-java,4334,468
10.13012/B2IDB-5835198_V1,12/14/2017,UXC_data.py,text/x-java,2675,419
10.13012/B2IDB-0170190_V3,6/18/2018,160511polyfreq.R,text/x-java,2530,328
10.13012/B2IDB-0170190_V2,3/26/2018,160511polyfreq.R,text/x-java,2530,133
10.13012/B2IDB-5835198_V1,12/14/2017,UXC_WUSABI.py,text/x-java,1860,470
10.13012/B2IDB-5835198_V1,12/14/2017,UXC_Kelp.py,text/x-java,1816,460
10.13012/B2IDB-0790815_V2,12/19/2018,hapMap2numeric.R,text/x-java,1536,220
10.13012/B2IDB-0790815_V1,11/29/2017,hapMap2numeric.R,text/x-java,1536,309
10.13012/B2IDB-5835198_V1,12/14/2017,UXC2_SA_fctn.py,text/x-java,1171,467
10.13012/B2IDB-6858418_V2,12/22/2017,Data_Bank_Cleaner.py,text/x-java,1134,345
10.13012/B2IDB-4084515_V1,7/22/2016,hapMap2genind.R,text/x-java,922,328
10.13012/B2IDB-5835198_V1,12/14/2017,UXC_GeoFctns.py,text/x-java,359,456
10.13012/B2IDB-4742014_V1,4/23/2018,author-implicit-affiliation-title-pairs2009.tsv,text/x-c++,159664138,482
10.13012/B2IDB-4742014_V1,4/23/2018,author-implicit-mesh-title-pairs2009.tsv,text/x-c++,129559263,475
10.13012/B2IDB-4742014_V1,4/23/2018,author-implicit-title-journal-pairs2009.tsv,text/x-c++,97109235,506
10.13012/B2IDB-4742014_V1,4/23/2018,author-implicit-title-word-pairs2009.tsv,text/x-c++,68287038,468
10.13012/B2IDB-4742014_V1,4/23/2018,author-implicit-affiliation-word-pairs2009.tsv,text/x-c,101263877,470
10.13012/B2IDB-4905767_V1,10/23/2019,MD_smd.namd,text/x-c,4264,63
10.13012/B2IDB-4905767_V1,10/23/2019,MD_equil.namd,text/x-c,4244,67
10.13012/B2IDB-0897344_V1,2/10/2021,Readme_Metadata_Topographic_Data.txt,text/x-asm,3718,47
10.13012/B2IDB-0705058_V1,4/22/2021,sazo_bif_f.m,text/x-asm,1886,30
10.13012/B2IDB-8020612_V1,7/8/2019,mesh_scores.tsv,text/plain,39385397052,166
10.13012/B2IDB-8170405_V1,9/18/2020,180110Msa.vcf,text/plain,17429893759,76
10.13012/B2IDB-1402948_V1,7/27/2019,170705Msi_NsiI_genotypes.vcf,text/plain,11810341993,199
10.13012/B2IDB-9320144_V2,3/1/2018,ITS7_Miller_Fludigm_R1.fastq,text/plain,10647942484,340
10.13012/B2IDB-9320144_V1,3/1/2018,ITS7_Miller_Fludigm_R1.fastq,text/plain,10647942484,90
10.13012/B2IDB-9320144_V2,3/1/2018,ITS1F_Miller_Fludigm_R1.fastq,text/plain,9664969169,419
10.13012/B2IDB-1402948_V1,7/27/2019,170608Msi_PstI_genotypes.vcf,text/plain,7932816736,203
10.13012/B2IDB-0065911_V1,6/3/2020,precip_1984project.asc,text/plain,6419259371,123
10.13012/B2IDB-8170405_V1,9/18/2020,180813tagtaxadist.txt,text/plain,5775737650,71
10.13012/B2IDB-0065911_V1,6/3/2020,temp_1984project.asc,text/plain,5770042497,124
10.13012/B2IDB-4354331_V1,4/19/2018,mapaffil2016.tsv,text/plain,3735164578,619
10.13012/B2IDB-2273402_V1,4/22/2021,au2id2018.tsv,text/plain,2431418769,39
10.13012/B2IDB-1402948_V1,7/27/2019,170611bowtie_NsiI.sam,text/plain,2207361273,204
10.13012/B2IDB-6862941_V1,6/5/2019,LSU R1 forward Illumina reads.fastq,text/plain,2196104408,161
10.13012/B2IDB-6862941_V1,6/5/2019,Beta tubulin forward Illumina reads.fastq,text/plain,1477442323,162
10.13012/B2IDB-9320144_V2,3/1/2018,ITS7_Miller_Fludigm_I1_Fixedheaders.fastq,text/plain,1446963124,387
10.13012/B2IDB-9320144_V1,3/1/2018,ITS7_Miller_Fludigm_I1_Fixedheaders.fastq,text/plain,1446963124,90
10.13012/B2IDB-9320144_V2,3/1/2018,ITS1F_Miller_Fludigm_I1_fixedheader.fastq,text/plain,1313384849,415
10.13012/B2IDB-9320144_V1,3/1/2018,ITS1F_Miller_Fludigm_I1_fixedheader.fastq,text/plain,1313384849,84
10.13012/B2IDB-8170405_V1,9/18/2020,180110alignedtags.sam,text/plain,1302533975,70
10.13012/B2IDB-0065911_V1,6/3/2020,slope_1984project.asc,text/plain,1299802545,118
10.13012/B2IDB-1530363_V1,6/12/2019,Supplemental 1 ITS1 R1 forward reads.fastq,text/plain,1266657420,202
10.13012/B2IDB-6862941_V1,6/5/2019,ITS1 R1 forward Illumina reads.fastq,text/plain,1266657420,167
10.13012/B2IDB-9665377_V1,4/23/2018,Training_data_2002_2005_pmc_pair_Last.txt,text/plain,1190191587,460
10.13012/B2IDB-9665377_V1,4/23/2018,Training_data_2002_2005_pmc_pair_First.txt,text/plain,1182334354,474
10.13012/B2IDB-1530363_V1,6/12/2019,Supplemental 3 ITS2 R1 forward reads.fastq,text/plain,1026769464,205
10.13012/B2IDB-6862941_V1,6/5/2019,ITS2 R1 forward Illumina reads.fastq,text/plain,1026769464,164
10.13012/B2IDB-9665377_V1,4/23/2018,Training_data_2002_2005_pmc_pair_Middle_2nd.txt,text/plain,1010123655,506
10.13012/B2IDB-6862941_V1,6/5/2019,LSU Index file.fastq,text/plain,813064929,163
10.13012/B2IDB-9087546_V1,4/19/2018,genni-ethnea-authority2009.tsv,text/plain,751944855,486
10.13012/B2IDB-6257171_V1,8/1/2020,Figure-4-Case-3.dat,text/plain,747425588,67
10.13012/B2IDB-9453481_V1,12/20/2019,3PPF_outputV231_rep2_12-19.txt,text/plain,686752103,224
10.13012/B2IDB-9453481_V1,12/20/2019,3PPF_outputV231_rep2_05-12.txt,text/plain,685938600,244
10.13012/B2IDB-9246015_V1,5/7/2021,education.tsv2019,text/plain,665429075,33
10.13012/B2IDB-6257171_V1,8/1/2020,Figure-4-Case-5.dat,text/plain,622901400,69
10.13012/B2IDB-9246015_V1,5/7/2021,employment.tsv2019,text/plain,612843397,33
