doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-4900670_V1,2016-06-23,8,5161929142,2418,4,Technology and Engineering
10.13012/B2IDB-6648634_V1,2016-12-14,7,61914778299,1439,0,Life Sciences
10.13012/J81Z429G,2016-06-06,3,1234130180,905,2,Social Sciences
10.13012/B2IDB-2031816_V1,2017-08-30,1,52985,9,0,""
10.13012/B2IDB-0475732_V1,2016-12-14,6,46534264546,1082,0,Life Sciences
10.13012/B2IDB-6967733_V1,2018-05-01,13,118486563928,1826,0,Life Sciences
10.13012/B2IDB-9154233_V1,2018-04-26,8,59659375811,1189,0,Life Sciences
10.13012/B2IDB-4084515_V1,2016-07-22,31,206088301,4831,1,Life Sciences
10.13012/B2IDB-4475836_V1,2016-12-14,6,57332194764,1446,0,Life Sciences
10.13012/B2IDB-6530647_V1,2016-12-14,6,48769733921,1192,0,Life Sciences
10.13012/B2IDB-9276024_V1,2016-12-02,1,1318,443,0,Social Sciences
10.13012/B2IDB-8561435_V1,2016-12-14,10,66932144283,1627,0,Life Sciences
10.13012/B2IDB-0094019_V1,2016-12-14,2,17448896223,622,0,Life Sciences
10.13012/B2IDB-3782968_V1,2018-12-20,1,135258,318,0,Social Sciences
10.13012/B2IDB-1616387_V1,2018-02-22,2,21610281,603,1,Life Sciences
10.13012/B2IDB-7546972_V1,2016-11-28,1,93132625,780,2,Physical Sciences
10.13012/B2IDB-7735354_V1,2017-09-19,11,1989494997,2261,1,Life Sciences
10.13012/B2IDB-2031816_V2,2017-09-06,1,54377,381,1,Life Sciences
10.13012/B2IDB-3175716_V1,2017-10-11,23,5619615,3439,0,Life Sciences
10.13012/B2IDB-1752285_V1,2016-12-12,1,2402650,397,2,Physical Sciences
10.13012/B2IDB-1001307_V1,2016-12-12,1,5507192,467,2,Physical Sciences
10.13012/B2IDB-4810873_V1,2016-12-12,1,11630445,496,2,Physical Sciences
10.13012/B2IDB-4871125_V1,2016-12-12,1,2390668953,354,2,Physical Sciences
10.13012/B2IDB-2011663_V1,2018-01-03,8,5227044,1261,2,Life Sciences
10.13012/B2IDB-1968634_V1,2016-05-26,2,105845,596,1,Social Sciences
10.13012/B2IDB-6534803_V1,2017-02-21,6,88369328220,1205,0,Life Sciences
10.13012/B2IDB-0341890_V1,2017-03-02,3,184136,1079,1,Life Sciences
10.13012/B2IDB-4912922_V2,2017-03-07,2,1402331760,763,2,Life Sciences
10.13012/B2IDB-2436375_V1,2017-12-12,1,4991443,405,2,Physical Sciences
10.13012/B2IDB-3764213_V1,2016-12-12,1,157053493,542,2,Physical Sciences
10.13012/B2IDB-3958294_V1,2016-12-13,22,10081243245,3162,0,Life Sciences
10.13012/B2IDB-8503612_V1,2017-11-15,1,12049,394,0,Social Sciences
10.13012/B2IDB-2204122_V1,2017-02-21,3,38767696131,916,0,Life Sciences
10.13012/B2IDB-9706842_V1,2017-05-22,3,6920,563,1,Life Sciences
10.13012/B2IDB-2059727_V1,2017-06-16,1,22085,386,1,Life Sciences
10.13012/B2IDB-9511904_V1,2016-12-18,2,1929745825,603,2,Physical Sciences
10.13012/B2IDB-1513733_V2,2017-12-15,4,72101,889,0,Life Sciences
10.13012/B2IDB-3661776_V2,2017-12-04,4,60828,967,2,Life Sciences
10.13012/B2IDB-4912922_V1,2017-03-07,1,1202507456,293,2,Life Sciences
10.13012/B2IDB-6946735_V2,2017-03-08,26,4579857032,3209,1,Life Sciences
10.13012/B2IDB-0024113_V1,2018-12-13,1,483320914,308,0,Physical Sciences
10.13012/B2IDB-2211060_V2,2020-03-13,18,9951386,704,1,Life Sciences
10.13012/B2IDB-5495131_V1,2016-12-19,4,1495464,1133,0,Social Sciences
10.13012/B2IDB-0064468_V1,2017-06-01,3,1045268,818,0,Social Sciences
10.13012/B2IDB-7570206_V1,2017-02-23,1,20851263699,655,1,Life Sciences
10.13012/B2IDB-4021048_V1,2017-05-31,1,20460,473,2,Life Sciences
10.13012/B2IDB-3605690_V1,2022-09-28,1,17907,5,0,Life Sciences
10.13012/B2IDB-5816195_V1,2022-02-14,1,31675,41,0,Life Sciences
10.13012/B2IDB-6946735_V1,2017-01-06,25,4579854912,3311,1,Life Sciences
10.13012/B2IDB-3661776_V1,2017-11-28,3,55558,537,2,Life Sciences
10.13012/B2IDB-0170190_V1,2018-03-16,36,556344441,2384,6,Life Sciences
10.13012/B2IDB-8402610_V1,2017-06-15,2,7256390,859,2,Life Sciences
10.13012/B2IDB-1528275_V1,2017-09-08,7,7020906,1307,1,Physical Sciences
10.13012/B2IDB-3520220_V1,2016-12-14,18,146316316371,2688,0,Life Sciences
10.13012/B2IDB-7821127_V1,2017-06-16,1,15444,517,1,Life Sciences
10.13012/B2IDB-7323993_V1,2018-12-14,2,18134,453,1,Social Sciences
10.13012/B2IDB-4311325_V1,2018-03-08,33,3701736,4762,2,Social Sciences
10.13012/B2IDB-9087546_V1,2018-04-19,2,751947562,853,9,Social Sciences
10.13012/B2IDB-8658584_V1,2017-06-16,1,20397,367,1,Life Sciences
10.13012/B2IDB-4308433_V1,2018-05-06,11,21768004018,1701,1,Life Sciences
10.13012/B2IDB-7239548_V1,2017-12-20,2,1970451272,555,1,Technology and Engineering
10.13012/B2IDB-0064468_V2,2017-06-01,3,1044534,1425,1,Social Sciences
10.13012/B2IDB-0410446_V2,2017-09-26,1,391286,439,1,Social Sciences
10.13012/B2IDB-1329706_V1,2018-01-13,1,18694,420,1,Life Sciences
10.13012/B2IDB-0790815_V1,2017-11-29,27,1583427261,2524,3,Life Sciences
10.13012/B2IDB-2224392_V2,2020-09-07,3,2086739686,201,0,Life Sciences
10.13012/B2IDB-7434833_V1,2017-11-29,1,5365222,148,1,Technology and Engineering
10.13012/J8PN93H8,2016-05-19,6,30770702069,7840,50,Technology and Engineering
10.13012/B2IDB-1235375_V1,2017-12-14,2,28404824,792,2,Social Sciences
10.13012/B2IDB-7434833_V2,2017-12-01,2,5563026,526,1,Technology and Engineering
10.13012/B2IDB-1065549_V1,2016-06-23,4,69900072,789,0,Social Sciences
10.13012/B2IDB-6795126_V1,2016-08-16,1,546413698,507,2,Life Sciences
10.13012/B2IDB-4803136_V1,2016-06-23,3,73819364,877,2,Social Sciences
10.13012/B2IDB-8284108_V1,2019-12-22,2,7647,248,3,Social Sciences
10.13012/B2IDB-1513733_V1,2017-12-12,4,71932,645,0,Life Sciences
10.13012/B2IDB-5835198_V1,2017-12-14,14,18960172,2085,0,Technology and Engineering
10.13012/B2IDB-3414496_V1,2022-03-19,5,18698,29,1,Life Sciences
10.13012/B2IDB-2237685_V1,2018-03-27,2,1766968,304,3,Social Sciences
10.13012/B2IDB-3897093_V1,2018-05-21,1,40093408,437,0,Physical Sciences
10.13012/B2IDB-9342111_V1,2017-11-14,12,119812035009,3019,2,Technology and Engineering
10.13012/B2IDB-5634345_V1,2018-12-31,2,20407,457,1,Social Sciences
10.13012/B2IDB-3407079_V2,2020-10-27,1,62946,72,0,Life Sciences
10.13012/B2IDB-8336948_V1,2017-12-18,1,48872,378,2,Social Sciences
10.13012/B2IDB-0852856_V1,2018-03-14,3,13820,651,0,Life Sciences
10.13012/B2IDB-5072223_V1,2016-11-30,1,21531,615,2,Life Sciences
10.13012/B2IDB-5060298_V1,2018-04-23,4,9574091488,1201,2,Social Sciences
10.13012/B2IDB-9665377_V1,2018-04-23,8,3384231580,1844,1,Social Sciences
10.13012/B2IDB-4222651_V1,2018-04-19,20,6392592252,3804,5,Social Sciences
10.13012/B2IDB-1591542_V1,2020-10-28,11,32645,243,1,Life Sciences
10.13012/B2IDB-4650469_V1,2017-05-01,2,8721649,669,0,Technology and Engineering
10.13012/B2IDB-4074787_V1,2018-04-06,1,29526387,330,2,Technology and Engineering
10.13012/B2IDB-6485436_V1,2017-07-29,13,25327688492,2509,2,Technology and Engineering
10.13012/B2IDB-3357538_V3,2018-01-11,1,57179,506,0,Physical Sciences
10.13012/B2IDB-4602893_V1,2016-05-16,4,265473,995,1,Life Sciences
10.13012/B2IDB-7860393_V1,2016-12-20,11,11033414,1727,0,Technology and Engineering
10.13012/B2IDB-5975383_V1,2017-02-28,2,1867964,940,0,Technology and Engineering
10.13012/B2IDB-0478588_V2,2017-09-28,2,194124,652,1,Life Sciences
10.13012/B2IDB-9696589_V1,2017-10-10,1,12106702,373,1,Technology and Engineering
10.13012/B2IDB-4742014_V1,2018-04-23,10,1194350822,1913,2,Social Sciences
10.13012/B2IDB-2237685_V2,2018-03-28,2,1766761,478,3,Social Sciences
10.13012/B2IDB-2865725_V1,2018-06-01,1,37295,378,2,Life Sciences
10.13012/B2IDB-6255617_V1,2018-04-05,2,17181934657,490,1,Life Sciences
10.13012/B2IDB-1082638_V1,2016-08-02,9,2515899715,1881,2,Social Sciences
10.13012/B2IDB-0170190_V2,2018-03-26,37,556347064,2617,6,Life Sciences
10.13012/B2IDB-0710473_V1,2016-08-18,2,3113,701,1,Social Sciences
10.13012/B2IDB-6396968_V1,2018-08-29,4,202195,765,3,Physical Sciences
10.13012/B2IDB-1075526_V1,2018-07-28,1,51970,494,3,Social Sciences
10.13012/B2IDB-7724021_V1,2019-09-06,1,392349,467,0,Social Sciences
10.13012/B2IDB-4814898_V1,2021-09-03,7,2701568988,71,0,Life Sciences
10.13012/B2IDB-1859347_V1,2017-08-11,8,4168748,1452,0,Physical Sciences
10.13012/B2IDB-4354331_V1,2018-04-19,2,3735167628,860,5,Social Sciences
10.13012/B2IDB-5348256_V1,2018-07-13,3,295923,597,0,Social Sciences
10.13012/B2IDB-3773381_V1,2018-06-06,5,15527007,1203,2,Technology and Engineering
10.13012/B2IDB-4693684_V1,2018-06-01,1,20123,346,3,Life Sciences
10.13012/B2IDB-0360762_V1,2018-05-16,2,34195353,483,3,Physical Sciences
10.13012/B2IDB-6316661_V2,2018-12-13,1,636176264,340,0,Technology and Engineering
10.13012/B2IDB-4469040_V1,2018-06-02,2,44547,461,0,Social Sciences
10.13012/B2IDB-1402948_V1,2019-07-27,6,22535714877,561,3,Life Sciences
10.13012/B2IDB-4370459_V1,2018-04-23,4,498380821,1259,1,Social Sciences
10.13012/B2IDB-9729830_V1,2018-08-01,3,526933142,381,0,Life Sciences
10.13012/B2IDB-9440404_V1,2019-05-31,5,19136471,478,0,Social Sciences
10.13012/B2IDB-9686195_V1,2018-04-24,1,49391,245,0,Technology and Engineering
10.13012/B2IDB-7281207_V1,2019-06-11,3,339464,395,0,Physical Sciences
10.13012/B2IDB-4137411_V1,2018-06-05,4,2689032246,807,1,Physical Sciences
10.13012/B2IDB-0851257_V1,2020-07-16,1,704605553,260,0,Social Sciences
10.13012/B2IDB-6955387_V1,2020-07-15,2,286450989,168,0,Life Sciences
10.13012/B2IDB-0170190_V3,2018-06-18,41,556558198,3319,7,Life Sciences
10.13012/B2IDB-9500981_V1,2018-12-06,2,672929,441,1,Life Sciences
10.13012/B2IDB-2805211_V1,2018-08-02,1,23959,386,2,Life Sciences
10.13012/B2IDB-0071156_V1,2018-12-01,1,1321817,364,1,Life Sciences
10.13012/B2IDB-0873454_V1,2019-01-07,2,11809436,982,1,Social Sciences
10.13012/B2IDB-8274875_V1,2018-07-25,1,1161686,298,1,Social Sciences
10.13012/B2IDB-6066174_V1,2019-02-02,1,24064,335,1,Life Sciences
10.13012/B2IDB-6679875_V1,2018-08-06,1,184695,447,12,Social Sciences
10.13012/B2IDB-1324977_V1,2018-08-16,1,15790,432,1,Life Sciences
10.13012/B2IDB-0852856_V2,2018-08-03,3,15074,594,1,Life Sciences
10.13012/B2IDB-1311182_V1,2018-08-02,1,40476,440,2,Life Sciences
10.13012/B2IDB-5075871_V1,2018-12-20,1,71702,280,0,Social Sciences
10.13012/B2IDB-3074701_V1,2018-10-24,5,78660,585,1,Life Sciences
10.13012/B2IDB-2087040_V1,2018-09-26,5,37798,718,0,Life Sciences
10.13012/B2IDB-9213932_V1,2018-10-03,24,46103905055,2620,1,Technology and Engineering
10.13012/B2IDB-8131709_V1,2018-10-05,1,656545,309,1,Life Sciences
10.13012/B2IDB-6701059_V1,2018-09-04,1,52825370,341,1,Social Sciences
10.13012/B2IDB-7869554_V1,2019-02-02,1,14788,278,1,Life Sciences
