doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-6268941_V1,12/31/2021,6,2540870,5,0,Life Sciences
10.13012/B2IDB-4693684_V3,12/28/2021,1,50439,15,1,Life Sciences
10.13012/B2IDB-3696813_V1,12/9/2021,2,46152,11,2,Life Sciences
10.13012/B2IDB-9227641_V1,12/1/2021,2,151368,20,0,Life Sciences
10.13012/B2IDB-8367769_V2,11/23/2021,9,11941367589,21,1,Physical Sciences
10.13012/B2IDB-6128941_V1,11/19/2021,2,387932942,16,0,
10.13012/B2IDB-2308557_V1,11/18/2021,32,3535595498,19,0,
10.13012/B2IDB-7636863_V1,11/16/2021,2,112307,14,1,Life Sciences
10.13012/B2IDB-5994799_V1,11/5/2021,2,679144,27,1,Social Sciences
10.13012/B2IDB-0888551_V1,11/5/2021,2,521537,18,1,Social Sciences
10.13012/B2IDB-8012140_V1,11/4/2021,3,695862484,29,1,Physical Sciences
10.13012/B2IDB-2566000_V1,11/3/2021,4,3450296295,19,0,Life Sciences
10.13012/B2IDB-5190701_V2,10/28/2021,1,7189,20,1,Life Sciences
10.13012/B2IDB-8967648_V1,10/27/2021,1,303858787,32,1,Life Sciences
10.13012/B2IDB-7904190_V1,10/24/2021,5,21679275,22,1,Life Sciences
10.13012/B2IDB-5556865_V1,10/22/2021,14,1633383,25,0,Life Sciences
10.13012/B2IDB-9526770_V1,10/15/2021,1,2164700,24,0,Technology and Engineering
10.13012/B2IDB-6186460_V1,10/15/2021,1,2066070,24,0,Technology and Engineering
10.13012/B2IDB-4996748_V1,10/15/2021,1,5787407,23,2,Life Sciences
10.13012/B2IDB-4547091_V1,10/15/2021,4,44004,25,0,Life Sciences
10.13012/B2IDB-6359717_V1,10/13/2021,1,114780225,17,3,Physical Sciences
10.13012/B2IDB-3975180_V1,10/11/2021,1,1195545775,30,0,Technology and Engineering
10.13012/B2IDB-1187851_V1,10/10/2021,2,1011702,21,1,Life Sciences
10.13012/B2IDB-3904737_V1,10/4/2021,3,752406932,27,0,Physical Sciences
10.13012/B2IDB-0938556_V1,9/17/2021,16,1356347,19,1,Life Sciences
10.13012/B2IDB-8585682_V1,9/6/2021,2,387400947,4,0,Physical Sciences
10.13012/B2IDB-4814898_V1,9/3/2021,7,2701568988,23,0,Life Sciences
10.13012/B2IDB-5190701_V1,9/1/2021,2,48018,0,1,Life Sciences
10.13012/B2IDB-9043394_V1,8/28/2021,2,135070,15,0,Life Sciences
10.13012/B2IDB-4717502_V1,8/27/2021,2,212303,36,1,Life Sciences
10.13012/B2IDB-8921156_V1,8/24/2021,2,3570077307,22,3,Life Sciences
10.13012/B2IDB-8293871_V1,8/20/2021,12,58689,32,0,Life Sciences
10.13012/B2IDB-1396774_V2,8/15/2021,6,30454504579,22,0,Physical Sciences
10.13012/B2IDB-3427028_V1,8/14/2021,3,1520004,22,1,Life Sciences
10.13012/B2IDB-5565022_V2,8/12/2021,4,26118764035,23,0,Life Sciences
10.13012/B2IDB-4857915_V1,8/5/2021,2,25969976,29,0,Social Sciences
10.13012/B2IDB-1079505_V1,8/4/2021,23,10559777,18,1,Physical Sciences
10.13012/B2IDB-2070560_V1,7/30/2021,5,79162,33,1,Social Sciences
10.13012/B2IDB-8255619_V2,7/22/2021,5,21057461,26,1,Social Sciences
10.13012/B2IDB-7683513_V1,7/21/2021,2,21223,22,2,Life Sciences
10.13012/B2IDB-4635945_V1,7/20/2021,3,104148,26,0,Social Sciences
